         ns       /busy_counter_tb/test/clk  /busy_counter_tb/test/clk                                       
          delta        /busy_counter_tb/test/busy               /busy_counter_tb/test/busy                   
           /busy_counter_tb/test/global_reset  /busy_counter_tb/test/global_reset                            
        /busy_counter_tb/test/game_engine_reset  /busy_counter_tb/test/game_engine_reset                     
                       /busy_counter_tb/test/busy_count         /busy_counter_tb/test/busy_count             
      0.000  +0                           U U U U     ?              U          U      U U     ? 
      0.000  +1                           0 1 0 0     ?              0          1      0 0     ? 
     20.000  +0                           1 1 0 0     ?              1          1      0 0     ? 
     40.000  +0                           0 1 0 0     ?              0          1      0 0     ? 
     60.000  +0                           1 1 0 0     ?              1          1      0 0     ? 
     80.000  +0                           0 1 0 0     ?              0          1      0 0     ? 
    100.000  +0                           1 1 0 0     ?              1          1      0 0     ? 
    120.000  +0                           0 1 0 0     ?              0          1      0 0     ? 
    140.000  +0                           1 1 0 0     ?              1          1      0 0     ? 
    160.000  +0                           0 1 0 0     ?              0          1      0 0     ? 
    180.000  +0                           1 1 0 0     ?              1          1      0 0     ? 
    200.000  +0                           0 1 0 0     ?              0          1      0 0     ? 
    220.000  +0                           1 1 0 0     ?              1          1      0 0     ? 
    240.000  +0                           0 1 0 0     ?              0          1      0 0     ? 
    250.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
    260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
    280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
    300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
    320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
    340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
    360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
    380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
    400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
    420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
    440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
    460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
    480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
    500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
    505.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
    520.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
    540.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
    560.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
    580.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
    600.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
    620.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
    640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
    660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
    680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
    700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
    720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
    740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
    760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
    780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
    800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
    820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
    840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
    860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
    880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
    900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
    920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
    940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
    960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
    980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1010.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   1020.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1040.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   1060.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1080.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   1100.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1120.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   1140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   1180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   1220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   1260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   1300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   1340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   1380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   1420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
